29
300.576488715
19359.626132675
1 3 6 29.2945535805 78.04893129199999
2 1 6 52.008442261999996 53.49140692699999
3 2 6 43.7232474185 49.313340471000004
4 1 6 222.74641428849998 243.42518726549997
5 1 6 39.067480608 52.008442261999996
6 2 6 49.313340471000004 84.74026854050001
7 1 6 53.49140692699999 93.6945126455
8 2 6 165.266641179 174.45390596000001
9 1 6 8.271329561 39.067480608
10 2 6 84.74026854050001 113.38130649150001
11 1 6 0 8.271329561
12 3 6 78.04893129199999 123.39341625249999
13 1 6 275.93407238049997 300.576488715
14 3 6 20.846103742 29.2945535805
15 1 6 178.9013215055 222.74641428849998
16 2 6 0 43.7232474185
17 3 6 169.0493752265 192.602937831
18 3 6 0 20.846103742
19 1 6 93.6945126455 143.088619792
20 2 6 113.38130649150001 159.2650745135
21 3 6 192.602937831 234.37868577799998
22 3 6 123.39341625249999 154.0142229085
23 3 6 234.37868577799998 238.93837714749998
24 1 6 243.42518726549997 275.93407238049997
25 2 6 174.45390596000001 193.59093520300002
26 3 6 154.0142229085 169.0493752265
27 2 6 159.2650745135 165.266641179
28 1 6 143.088619792 178.9013215055
29 2 6 193.59093520300002 203.03407423500002
